Informazioni cronologiche,Sesso:,Anno di nascita:,Sei studente/studentessa:,Sei studente/studentessa:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:
27/12/2020 18.44.02,F,2000,pendolare,triennale,Profilo 1,Profilo 3,Profilo 1,Profilo 2,Profilo 3,Profilo 1,Profilo 1,Profilo 2,Profilo 2
27/12/2020 18.57.07,F,2000,pendolare,triennale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 2,Profilo 3,Profilo 1
27/12/2020 18.57.48,F,1998,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 2,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 1,Profilo 2,Profilo 2
27/12/2020 19.14.42,M,2001,pendolare,triennale,Profilo 1,Profilo 1,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
27/12/2020 19.27.19,M,1996,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
27/12/2020 19.41.00,F,1996,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 2,Profilo 2,Profilo 1
27/12/2020 19.43.42,F,1997,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 3,Profilo 1,Profilo 2,Profilo 2,Profilo 1,Profilo 1,Profilo 2,Profilo 2
27/12/2020 19.50.19,F,1997,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 3,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 1,Profilo 2,Profilo 2
27/12/2020 19.58.46,F,1998,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 2,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 3,Profilo 2,Profilo 1
27/12/2020 20.40.26,F,1998,fuorisede entro 300km dalla città in cui studi,triennale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 3,Profilo 2,Profilo 1
27/12/2020 21.17.05,F,1997,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 2,Profilo 2,Profilo 1
27/12/2020 22.23.36,F,1997,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 2,Profilo 1,Profilo 1,Profilo 1,Profilo 3,Profilo 3,Profilo 3,Profilo 2,Profilo 1
28/12/2020 6.58.15,M,1997,non sono studente/studentessa,altro,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
28/12/2020 8.50.45,F,1996,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 1,Profilo 2,Profilo 3,Profilo 1
28/12/2020 9.10.15,F,1997,pendolare,triennale,Profilo 1,Profilo 3,Profilo 1,Profilo 2,Profilo 1,Profilo 1,Profilo 2,Profilo 2,Profilo 1
28/12/2020 9.23.08,F,1998,pendolare,triennale,Profilo 1,Profilo 2,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 1,Profilo 2,Profilo 1
28/12/2020 9.59.43,F,1997,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 3,Profilo 3,Profilo 3,Profilo 1
28/12/2020 10.05.45,F,1999,pendolare,triennale,Profilo 2,Profilo 1,Profilo 2,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 2,Profilo 1
28/12/2020 10.17.09,M,1997,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 2,Profilo 2,Profilo 1
28/12/2020 10.52.07,F,1997,fuorisede oltre 300km dalla città in cui studi,triennale,Profilo 2,Profilo 1,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
28/12/2020 11.01.22,F,1997,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
28/12/2020 11.02.11,F,2000,fuorisede entro 300km dalla città in cui studi,triennale,Profilo 2,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 3,Profilo 3,Profilo 2,Profilo 1
28/12/2020 11.02.22,F,1998,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 2,Profilo 3,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
28/12/2020 11.04.24,F,1997,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
28/12/2020 11.11.51,M,1997,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 3,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
28/12/2020 12.45.26,M,1997,pendolare,magistrale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
28/12/2020 12.53.25,F,1998,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 3,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
28/12/2020 12.55.18,F,1997,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
28/12/2020 12.57.58,M,1994,non sono studente/studentessa,altro,Profilo 3,Profilo 3,Profilo 1,Profilo 3,Profilo 2,Profilo 1,Profilo 1,Profilo 2,Profilo 2
28/12/2020 12.58.53,M,1996,pendolare,magistrale,Profilo 1,Profilo 3,Profilo 2,Profilo 2,Profilo 1,Profilo 3,Profilo 3,Profilo 3,Profilo 1
28/12/2020 14.54.27,M,1997,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 3,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
28/12/2020 16.02.29,F,1996,pendolare,magistrale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 1,Profilo 1,Profilo 3,Profilo 2,Profilo 1
28/12/2020 17.31.45,F,2000,fuorisede entro 300km dalla città in cui studi,triennale,Profilo 2,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 3,Profilo 3,Profilo 2,Profilo 1
28/12/2020 18.36.22,F,1997,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
28/12/2020 21.28.30,M,2001,fuorisede oltre 300km dalla città in cui studi,triennale,Profilo 2,Profilo 3,Profilo 2,Profilo 2,Profilo 3,Profilo 2,Profilo 3,Profilo 2,Profilo 1
28/12/2020 22.26.15,F,2001,fuorisede oltre 300km dalla città in cui studi,triennale,Profilo 1,Profilo 1,Profilo 3,Profilo 2,Profilo 3,Profilo 3,Profilo 2,Profilo 2,Profilo 1
28/12/2020 23.00.51,F,1996,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
29/12/2020 15.26.14,M,1996,pendolare,magistrale,Profilo 2,Profilo 3,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 2
29/12/2020 15.37.50,M,2001,fuorisede oltre 300km dalla città in cui studi,triennale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
29/12/2020 16.11.22,M,2001,fuorisede entro 300km dalla città in cui studi,triennale,Profilo 1,Profilo 1,Profilo 1,Profilo 1,Profilo 3,Profilo 3,Profilo 2,Profilo 2,Profilo 1
29/12/2020 16.29.47,M,2001,fuorisede entro 300km dalla città in cui studi,triennale,Profilo 1,Profilo 1,Profilo 1,Profilo 1,Profilo 3,Profilo 3,Profilo 2,Profilo 2,Profilo 1
30/12/2020 19.39.37,M,1995,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
30/12/2020 19.43.31,F,1996,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 2,Profilo 2,Profilo 1
30/12/2020 19.59.29,M,1996,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 2,Profilo 2,Profilo 1
30/12/2020 21.49.17,F,1995,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
30/12/2020 22.34.12,F,1996,pendolare,magistrale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 2,Profilo 2,Profilo 1
30/12/2020 23.30.31,M,1991,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 3,Profilo 2,Profilo 1,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
31/12/2020 17.13.23,M,1996,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 3,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
07/01/2021 12.02.01,F,1997,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 2,Profilo 1,Profilo 1,Profilo 1,Profilo 3,Profilo 3,Profilo 3,Profilo 2,Profilo 1
